,Unnamed: 0,Title,Year,Rating,Link,Budget,Gross,Net,Date,Month
0,1,  Paranormal Activity,2007,6.3,/title/tt1179904/,15000.0,193355800.0,193340800.0,2009-10-16,10.0
1,10,  Trick 'r Treat,2007,6.7,/title/tt0862856/,12000000.0,,,2015-11-27,11.0
2,16,  The Oxford Murders,2008,6.1,/title/tt0488604/,10000000.0,17646627.0,7646627.0,2010-07-02,7.0
3,33,  From Within,2008,5.6,/title/tt1063056/,,228014.0,,2009-06-03,6.0
4,42,  Babysitter Wanted,2008,5.4,/title/tt0819755/,,,,2009-02-06,2.0
5,43,  The Echo (I),2008,5.5,/title/tt0897347/,5000000.0,1508127.0,-3491873.0,2009-05-28,5.0
6,51,  Hush (V),2008,6.0,/title/tt1093369/,1210000.0,288667.0,-921333.0,2009-03-13,3.0
7,53,  Autopsy,2008,5.0,/title/tt0443435/,2000000.0,115800.0,-1884200.0,2009-06-25,6.0
8,56,  Deadgirl,2008,5.5,/title/tt0896534/,,,,2013-04-20,4.0
9,57,  Pontypool,2008,6.5,/title/tt1226681/,950000.0,32118.0,-917882.0,2009-09-18,9.0
10,62,  Nature's Grave,2008,5.1,/title/tt1098356/,,,,2009-08-04,8.0
11,63,  I Sell the Dead,2008,6.0,/title/tt0902290/,750000.0,8050.0,-741950.0,2009-01-16,1.0
12,66,  Train (I),2008,4.7,/title/tt1015474/,,,,2009-05-02,5.0
13,69,  Vacancy 2: The First Cut,2008,4.9,/title/tt1204979/,3000000.0,,,2009-01-20,1.0
14,70,  Splinter (I),2008,6.1,/title/tt1031280/,,522497.0,,2009-04-03,4.0
15,74,  Kandisha,2008,6.5,/title/tt1033483/,3500000.0,,,2015-04-05,4.0
16,75,  Kill Theory,2009,5.3,/title/tt0893532/,6000000.0,397941.0,-5602059.0,2009-01-08,1.0
17,76,  My Bloody Valentine,2009,5.4,/title/tt1179891/,15000000.0,100734718.0,85734718.0,2009-01-16,1.0
18,77,  The Unborn,2009,4.7,/title/tt1139668/,16000000.0,76514050.0,60514050.0,2009-01-09,1.0
19,78,  Dead Snow,2009,6.3,/title/tt1278340/,800000.0,2166797.0,1366797.0,2009-01-09,1.0
20,79,  Grace (III),2009,5.2,/title/tt1220213/,5000000.0,8297.0,-4991703.0,2009-09-15,9.0
21,80,  Grotesque,2009,4.7,/title/tt1352369/,,,,2009-05-17,5.0
22,81,  The Uninvited,2009,6.3,/title/tt0815245/,,41633384.0,,2009-01-30,1.0
23,82,  Friday the 13th,2009,5.5,/title/tt0758746/,19000000.0,91509154.0,72509154.0,2009-02-13,2.0
24,83,  Walled In,2009,4.7,/title/tt1104006/,6000000.0,270888.0,-5729112.0,2009-06-19,6.0
25,84,  13B: Fear Has a New Address,2009,7.3,/title/tt1385824/,,2482072.0,,2009-03-06,3.0
26,85,  Book of Blood,2009,5.2,/title/tt1169809/,6000000.0,567723.0,-5432277.0,2009-05-08,5.0
27,86,  The Last House on the Left,2009,6.5,/title/tt0844708/,15000000.0,45995223.0,30995223.0,2009-03-13,3.0
28,87,  Drag Me to Hell,2009,6.6,/title/tt1127180/,30000000.0,90842646.0,60842646.0,2009-05-29,5.0
29,88,  Vampire Killers,2009,5.1,/title/tt1020885/,,3276702.0,,2009-03-20,3.0
30,89,  Laid to Rest,2009,5.2,/title/tt1228933/,,,,2009-03-18,3.0
31,90,  The Haunting in Connecticut,2009,5.8,/title/tt0492044/,10000000.0,77578320.0,67578320.0,2009-03-27,3.0
32,91,  Blood: The Last Vampire,2009,5.2,/title/tt0806027/,30000000.0,5874530.0,-24125470.0,2009-06-04,6.0
33,92,  Night Train (I),2009,5.7,/title/tt1020055/,,,,2009-07-07,7.0
34,93,  Tell Tale,2009,5.4,/title/tt1135095/,12000000.0,367586.0,-11632414.0,2009-12-31,12.0
35,94,  The House of the Devil,2009,6.3,/title/tt1172994/,900000.0,101215.0,-798785.0,2009-04-25,4.0
